,EJ2,J2,PLT3,PLT7,Season,obs_mean,variance
440,W,M,W,W,Spring 23,0.3241758241758242,0.43456543456543467
441,W,M,W,W,Summer 22,0.12352941176470589,0.1207448659937348
442,W,M,W,W,Summer 23,0.5473684210526316,0.936897800055695
443,W,W,H,H,Fall 22,0.65,0.6435897435897437
444,W,W,H,H,Summer 22,0.2,0.16551724137931031
445,W,W,H,H,Summer 23,0.25,0.3026315789473683
446,W,W,H,M,Fall 22,2.4,2.524137931034483
447,W,W,H,M,Summer 22,1.8928571428571428,7.574002574002575
448,W,W,H,M,Summer 23,3.5833333333333335,17.975988700564965
449,W,W,H,W,Fall 22,0.2,0.16842105263157894
450,W,W,H,W,Spring 23,0.1125,0.10110759493670886
451,W,W,H,W,Summer 22,0.06477732793522267,0.06895757216681479
452,W,W,H,W,Summer 23,0.1580547112462006,0.18225961894877288
453,W,W,M,H,Fall 22,9.64,14.031020408163263
454,W,W,M,H,Summer 22,8.235294117647058,55.38352941176471
455,W,W,M,W,Fall 22,2.4272727272727272,3.2744787322768967
456,W,W,M,W,Spring 23,0.7876106194690266,0.9723451327433633
457,W,W,M,W,Summer 22,1.0290556900726393,2.042843038153224
458,W,W,M,W,Summer 23,0.9752475247524752,1.138687749371953
459,W,W,W,H,Fall 22,0.7,0.7473684210526315
460,W,W,W,H,Summer 22,0.1,0.16206896551724134
461,W,W,W,H,Summer 23,0.2,0.1777777777777778
462,W,W,W,M,Fall 22,0.5214285714285715,0.8412641315519015
463,W,W,W,M,Spring 23,0.32323232323232326,0.44547515976087404
464,W,W,W,M,Summer 22,0.3783783783783784,0.35285285285285284
465,W,W,W,M,Summer 23,0.11538461538461539,0.1813186813186813
466,W,W,W,W,Fall 22,0.175,0.2128151260504202
467,W,W,W,W,Spring 23,0.009523809523809525,0.009523809523809525
468,W,W,W,W,Summer 22,0.07239819004524888,0.07655285890580009
469,W,W,W,W,Summer 23,0.16,0.17498327759197319
